AccidentDate,Timing,State,WeatherCondition,RoadCondition,Deaths,Reason
23-03-2005,Morning,West Virginia,Foggy,Fine,6,Poor Visibility
31-08-2005,Morning,Florida,Rainy,Fine,10,Poor Visibility
25-07-2018,Night,Ohio,Rainy,Fine,3,Drunk Driving
28-08-2002,Afternoon,New Jersey,Rainy,Under Construction,1,Road Conditions
08-01-2015,Evening,North Carolina,Clear,Under Construction,4,Distracted Driving
18-02-2019,Night,Texas,Rainy,Rough,8,Reckless Driving
09-11-2000,Night,Washington,Rainy,Rough,1,Drunk Driving
20-03-2002,Evening,Louisiana,Foggy,Fine,2,Road Conditions
15-04-2011,Afternoon,Louisiana,Rainy,Fine,10,Mechanical Failure
30-01-2002,Evening,California,Rainy,Fine,3,Weather Conditions
08-09-2006,Afternoon,New York,Rainy,Fine,9,Road Conditions
30-06-2023,Morning,Virginia,Foggy,Rough,9,Mechanical Failure
27-10-2017,Evening,West Virginia,Clear,Fine,10,Mechanical Failure
14-07-2023,Night,New York,Foggy,Rough,3,Speeding
14-03-2018,Afternoon,Wyoming,Foggy,Rough,3,Weather Conditions
29-03-2022,Afternoon,New York,Clear,Under Construction,3,Speeding
18-12-2007,Night,Texas,Clear,Fine,4,Distracted Driving
16-11-2017,Evening,Georgia,Foggy,Under Construction,3,Mechanical Failure
07-06-2004,Evening,West Virginia,Foggy,Fine,8,Distracted Driving
21-01-2005,Morning,Vermont,Foggy,Under Construction,4,Speeding
17-02-2016,Night,Washington,Clear,Under Construction,0,Speeding
06-01-2022,Night,Ohio,Clear,Fine,6,Reckless Driving
11-05-2007,Evening,Montana,Foggy,Fine,6,Driver Fatigue
29-01-2020,Night,Florida,Clear,Under Construction,3,Driver Fatigue
15-09-2017,Night,Arizona,Foggy,Fine,3,Distracted Driving
10-12-2018,Night,Colorado,Rainy,Fine,6,Drunk Driving
08-09-2003,Afternoon,Alaska,Rainy,Rough,0,Drunk Driving
15-12-2008,Night,New York,Rainy,Rough,5,Drunk Driving
13-04-2008,Afternoon,South Carolina,Clear,Under Construction,4,Distracted Driving
24-11-2000,Afternoon,Michigan,Foggy,Rough,9,Distracted Driving
14-05-2021,Morning,Virginia,Rainy,Fine,0,Road Conditions
15-12-2004,Evening,New York,Clear,Fine,9,Speeding
09-07-2018,Night,North Carolina,Clear,Under Construction,0,Mechanical Failure
07-02-2014,Night,New Mexico,Clear,Under Construction,2,Weather Conditions
10-09-2007,Night,Washington,Foggy,Fine,1,Speeding
23-11-2011,Afternoon,Ohio,Rainy,Fine,2,Poor Visibility
06-04-2007,Evening,Ohio,Rainy,Fine,5,Reckless Driving
24-02-2021,Night,Nevada,Clear,Rough,10,Mechanical Failure
31-01-2004,Afternoon,Minnesota,Foggy,Fine,10,Mechanical Failure
05-07-2017,Afternoon,Vermont,Rainy,Under Construction,1,Driver Fatigue
16-11-2001,Morning,Alaska,Clear,Under Construction,5,Mechanical Failure
24-08-2020,Morning,Washington,Rainy,Fine,0,Driver Fatigue
07-04-2015,Afternoon,North Carolina,Rainy,Under Construction,9,Drunk Driving
06-07-2013,Morning,Ohio,Clear,Under Construction,10,Distracted Driving
16-09-2018,Night,Colorado,Foggy,Under Construction,2,Poor Visibility
01-06-2011,Night,Arizona,Clear,Under Construction,4,Driver Fatigue
30-05-2023,Evening,Minnesota,Foggy,Under Construction,3,Driver Fatigue
07-08-2020,Night,Vermont,Foggy,Rough,4,Weather Conditions
26-04-2015,Afternoon,Alaska,Clear,Under Construction,8,Distracted Driving
19-04-2009,Evening,Louisiana,Foggy,Rough,6,Drunk Driving
01-05-2012,Night,Alaska,Foggy,Under Construction,4,Distracted Driving
16-11-2005,Afternoon,Texas,Clear,Fine,0,Weather Conditions
11-06-2014,Night,Michigan,Rainy,Fine,3,Mechanical Failure
07-08-2012,Evening,Vermont,Clear,Fine,8,Drunk Driving
08-09-2002,Evening,North Carolina,Rainy,Fine,7,Mechanical Failure
04-08-2018,Afternoon,Arizona,Clear,Rough,9,Speeding
26-02-2009,Morning,Florida,Rainy,Rough,5,Distracted Driving
03-04-2007,Evening,Montana,Foggy,Rough,9,Drunk Driving
12-12-2012,Night,Minnesota,Foggy,Fine,5,Weather Conditions
21-05-2015,Night,Alaska,Rainy,Under Construction,8,Mechanical Failure
28-02-2000,Night,New Jersey,Rainy,Under Construction,0,Poor Visibility
01-10-2010,Afternoon,New Jersey,Rainy,Rough,10,Mechanical Failure
10-03-2002,Morning,Alaska,Rainy,Fine,5,Poor Visibility
14-04-2007,Morning,Michigan,Rainy,Fine,10,Road Conditions
14-07-2012,Morning,Ohio,Rainy,Under Construction,2,Road Conditions
19-07-2008,Night,West Virginia,Rainy,Fine,3,Driver Fatigue
26-06-2022,Night,West Virginia,Clear,Fine,10,Road Conditions
16-11-2020,Afternoon,Illinois,Clear,Rough,3,Road Conditions
07-09-2007,Afternoon,Ohio,Rainy,Under Construction,9,Driver Fatigue
11-02-2002,Night,Nevada,Rainy,Rough,9,Road Conditions
02-03-2008,Night,Georgia,Clear,Under Construction,8,Poor Visibility
10-12-2009,Night,Arizona,Foggy,Under Construction,7,Mechanical Failure
25-07-2007,Night,Virginia,Rainy,Under Construction,2,Reckless Driving
29-05-2020,Night,Wyoming,Foggy,Rough,3,Drunk Driving
25-08-2011,Evening,Michigan,Clear,Fine,3,Weather Conditions
27-05-2017,Morning,Iowa,Foggy,Fine,9,Driver Fatigue
19-11-2022,Morning,Pennsylvania,Clear,Under Construction,8,Driver Fatigue
03-01-2010,Morning,Florida,Rainy,Fine,3,Road Conditions
07-08-2010,Morning,Illinois,Foggy,Fine,9,Mechanical Failure
23-12-2002,Morning,New Mexico,Foggy,Rough,9,Speeding
09-01-2011,Afternoon,Louisiana,Rainy,Rough,6,Drunk Driving
03-10-2002,Night,Indiana,Clear,Under Construction,10,Reckless Driving
14-10-2013,Night,Alaska,Foggy,Rough,5,Weather Conditions
21-10-2022,Night,Wisconsin,Foggy,Fine,3,Poor Visibility
12-02-2018,Night,Michigan,Clear,Fine,1,Drunk Driving
28-07-2010,Night,Minnesota,Foggy,Fine,1,Drunk Driving
07-02-2022,Night,Alaska,Rainy,Under Construction,6,Road Conditions
25-08-2008,Morning,West Virginia,Clear,Fine,9,Poor Visibility
30-11-2021,Night,West Virginia,Foggy,Under Construction,5,Speeding
19-05-2012,Afternoon,Wisconsin,Clear,Under Construction,10,Driver Fatigue
16-01-2008,Morning,Iowa,Clear,Rough,7,Drunk Driving
09-09-2006,Morning,Indiana,Foggy,Under Construction,5,Poor Visibility
22-05-2019,Night,South Carolina,Foggy,Rough,2,Speeding
17-06-2023,Evening,West Virginia,Foggy,Under Construction,3,Weather Conditions
01-08-2005,Night,North Carolina,Foggy,Fine,0,Distracted Driving
03-06-2001,Morning,Pennsylvania,Rainy,Under Construction,7,Distracted Driving
18-05-2005,Afternoon,Iowa,Rainy,Under Construction,8,Road Conditions
02-10-2006,Afternoon,Minnesota,Foggy,Under Construction,0,Reckless Driving
26-09-2000,Evening,Wyoming,Foggy,Under Construction,10,Mechanical Failure
20-02-2004,Evening,West Virginia,Rainy,Rough,6,Weather Conditions
23-09-2008,Night,West Virginia,Rainy,Rough,10,Speeding
12-12-2007,Evening,Iowa,Rainy,Rough,5,Driver Fatigue
25-09-2001,Night,Florida,Foggy,Under Construction,9,Speeding
27-02-2017,Afternoon,California,Rainy,Rough,7,Poor Visibility
27-12-2011,Night,Washington,Rainy,Fine,0,Mechanical Failure
22-01-2013,Afternoon,Wyoming,Clear,Rough,6,Distracted Driving
28-11-2008,Night,Washington,Foggy,Rough,0,Poor Visibility
24-06-2009,Morning,Texas,Clear,Under Construction,5,Mechanical Failure
19-09-2001,Afternoon,New Mexico,Foggy,Under Construction,10,Reckless Driving
23-09-2015,Morning,Minnesota,Rainy,Fine,8,Weather Conditions
14-12-2014,Afternoon,Washington,Clear,Fine,3,Poor Visibility
27-04-2019,Afternoon,California,Rainy,Fine,7,Weather Conditions
18-03-2009,Night,Indiana,Rainy,Rough,5,Speeding
06-05-2010,Night,Pennsylvania,Rainy,Fine,0,Distracted Driving
11-03-2004,Night,Minnesota,Clear,Under Construction,3,Road Conditions
25-05-2017,Morning,Indiana,Clear,Rough,4,Driver Fatigue
19-03-2005,Afternoon,Georgia,Foggy,Rough,2,Driver Fatigue
20-01-2000,Afternoon,Vermont,Clear,Fine,1,Drunk Driving
05-01-2021,Night,Louisiana,Foggy,Rough,0,Mechanical Failure
10-08-2012,Night,Iowa,Rainy,Under Construction,6,Weather Conditions
09-04-2000,Night,Montana,Rainy,Rough,8,Poor Visibility
27-12-2003,Afternoon,Wisconsin,Rainy,Under Construction,4,Mechanical Failure
30-04-2017,Afternoon,Iowa,Clear,Under Construction,1,Speeding
29-09-2010,Night,Ohio,Clear,Fine,8,Weather Conditions
31-10-2019,Morning,Colorado,Foggy,Rough,9,Driver Fatigue
06-02-2006,Morning,Ohio,Clear,Fine,7,Mechanical Failure
17-11-2017,Afternoon,Pennsylvania,Clear,Under Construction,3,Road Conditions
11-06-2003,Night,New Jersey,Clear,Fine,1,Reckless Driving
25-02-2001,Night,Louisiana,Rainy,Rough,8,Mechanical Failure
01-11-2004,Night,Wyoming,Foggy,Fine,10,Distracted Driving
18-01-2002,Night,Alaska,Rainy,Under Construction,3,Mechanical Failure
18-02-2007,Morning,Ohio,Rainy,Fine,8,Drunk Driving
21-08-2006,Afternoon,Louisiana,Clear,Rough,5,Mechanical Failure
19-09-2011,Morning,Louisiana,Clear,Under Construction,2,Mechanical Failure
16-04-2004,Evening,Louisiana,Rainy,Under Construction,5,Speeding
03-03-2005,Morning,Montana,Foggy,Rough,7,Poor Visibility
22-04-2008,Night,New Mexico,Clear,Fine,5,Distracted Driving
27-09-2008,Night,Minnesota,Clear,Fine,5,Weather Conditions
29-05-2002,Morning,Michigan,Clear,Under Construction,8,Drunk Driving
18-04-2018,Afternoon,Vermont,Clear,Fine,7,Weather Conditions
27-08-2007,Afternoon,Texas,Clear,Fine,8,Speeding
19-05-2007,Night,West Virginia,Rainy,Fine,0,Mechanical Failure
07-08-2013,Afternoon,Washington,Foggy,Under Construction,0,Mechanical Failure
25-09-2003,Morning,New York,Clear,Fine,7,Driver Fatigue
26-03-2001,Night,South Carolina,Foggy,Fine,2,Road Conditions
10-10-2011,Night,Montana,Rainy,Under Construction,5,Weather Conditions
27-08-2013,Morning,Indiana,Clear,Fine,2,Speeding
30-06-2018,Night,Louisiana,Clear,Under Construction,8,Weather Conditions
09-11-2013,Night,Ohio,Rainy,Rough,6,Weather Conditions
10-06-2008,Morning,North Carolina,Clear,Under Construction,10,Mechanical Failure
16-12-2000,Night,Washington,Foggy,Under Construction,4,Road Conditions
13-03-2017,Night,Vermont,Rainy,Fine,5,Reckless Driving
12-05-2014,Night,Georgia,Foggy,Fine,7,Weather Conditions
19-12-2008,Afternoon,Pennsylvania,Rainy,Rough,3,Road Conditions
11-03-2003,Evening,South Carolina,Clear,Fine,6,Speeding
06-12-2011,Evening,Wisconsin,Foggy,Under Construction,9,Speeding
11-11-2003,Morning,Montana,Foggy,Rough,6,Weather Conditions
26-07-2000,Night,Pennsylvania,Clear,Under Construction,7,Road Conditions
13-06-2012,Night,Virginia,Clear,Under Construction,1,Mechanical Failure
28-11-2005,Afternoon,Vermont,Clear,Rough,0,Speeding
11-03-2015,Afternoon,Ohio,Clear,Rough,7,Drunk Driving
31-03-2011,Evening,Texas,Clear,Fine,10,Driver Fatigue
12-07-2008,Morning,Louisiana,Clear,Rough,2,Distracted Driving
22-09-2016,Night,Ohio,Rainy,Fine,6,Reckless Driving
11-10-2001,Night,Illinois,Clear,Under Construction,2,Drunk Driving
20-01-2018,Morning,New Jersey,Rainy,Under Construction,10,Distracted Driving
26-12-2000,Afternoon,Virginia,Foggy,Fine,6,Mechanical Failure
19-06-2021,Afternoon,Louisiana,Clear,Fine,8,Poor Visibility
30-11-2000,Afternoon,Indiana,Foggy,Fine,8,Poor Visibility
09-01-2003,Afternoon,New York,Foggy,Under Construction,8,Road Conditions
16-10-2001,Evening,Florida,Clear,Fine,2,Poor Visibility
02-01-2000,Morning,New York,Clear,Under Construction,1,Poor Visibility
26-03-2013,Afternoon,Virginia,Rainy,Under Construction,4,Weather Conditions
19-10-2008,Afternoon,Colorado,Foggy,Fine,9,Road Conditions
10-05-2007,Night,Montana,Rainy,Rough,5,Weather Conditions
01-02-2002,Night,Louisiana,Clear,Under Construction,5,Weather Conditions
04-09-2000,Morning,Florida,Foggy,Rough,7,Reckless Driving
20-11-2012,Evening,North Carolina,Foggy,Under Construction,8,Driver Fatigue
27-11-2021,Night,Colorado,Clear,Fine,10,Driver Fatigue
28-10-2014,Night,West Virginia,Clear,Under Construction,6,Road Conditions
06-10-2013,Evening,New York,Foggy,Rough,5,Reckless Driving
04-08-2006,Afternoon,Nevada,Clear,Fine,10,Driver Fatigue
19-10-2008,Night,Georgia,Foggy,Under Construction,10,Drunk Driving
01-11-2022,Night,Wyoming,Rainy,Rough,8,Distracted Driving
12-03-2004,Afternoon,North Carolina,Foggy,Under Construction,3,Road Conditions
02-02-2004,Evening,Georgia,Clear,Fine,4,Poor Visibility
24-12-2001,Evening,Wisconsin,Foggy,Rough,1,Drunk Driving
23-10-2003,Evening,West Virginia,Clear,Fine,4,Drunk Driving
21-09-2016,Morning,Florida,Foggy,Rough,6,Distracted Driving
04-12-2000,Night,South Carolina,Clear,Fine,3,Drunk Driving
29-06-2001,Morning,Wyoming,Clear,Under Construction,6,Driver Fatigue
16-09-2013,Afternoon,Illinois,Foggy,Under Construction,7,Poor Visibility
10-01-2004,Afternoon,Pennsylvania,Clear,Fine,10,Distracted Driving
24-05-2005,Night,Georgia,Clear,Rough,2,Road Conditions
16-02-2003,Evening,Georgia,Foggy,Fine,0,Road Conditions
22-07-2006,Afternoon,Wisconsin,Clear,Rough,1,Weather Conditions
13-08-2018,Night,Minnesota,Foggy,Under Construction,6,Road Conditions
30-12-2014,Night,Iowa,Rainy,Fine,3,Poor Visibility
31-01-2002,Night,North Carolina,Clear,Under Construction,8,Weather Conditions
12-08-2010,Evening,Montana,Foggy,Fine,3,Reckless Driving
29-06-2008,Morning,Wyoming,Foggy,Rough,1,Weather Conditions
28-11-2012,Night,Minnesota,Foggy,Under Construction,4,Speeding
29-06-2002,Afternoon,Iowa,Rainy,Rough,2,Poor Visibility
10-04-2013,Afternoon,Colorado,Clear,Under Construction,3,Drunk Driving
11-05-2004,Night,West Virginia,Foggy,Under Construction,3,Reckless Driving
08-02-2022,Evening,Ohio,Foggy,Under Construction,8,Driver Fatigue
10-02-2008,Evening,New York,Clear,Fine,0,Road Conditions
19-01-2003,Night,Illinois,Clear,Rough,9,Weather Conditions
30-10-2020,Evening,Ohio,Clear,Under Construction,0,Speeding
14-11-2008,Night,Colorado,Rainy,Under Construction,2,Driver Fatigue
25-05-2000,Night,New Mexico,Rainy,Under Construction,10,Drunk Driving
03-10-2021,Night,New Mexico,Clear,Fine,5,Mechanical Failure
08-03-2002,Afternoon,Florida,Clear,Under Construction,6,Poor Visibility
04-01-2005,Afternoon,New Jersey,Foggy,Under Construction,7,Drunk Driving
26-03-2017,Night,Minnesota,Foggy,Fine,3,Road Conditions
03-02-2016,Morning,Texas,Rainy,Under Construction,5,Distracted Driving
04-08-2005,Afternoon,Arizona,Foggy,Fine,8,Speeding
04-06-2013,Afternoon,California,Foggy,Under Construction,2,Reckless Driving
07-11-2020,Morning,Montana,Rainy,Under Construction,3,Poor Visibility
12-10-2018,Night,Indiana,Foggy,Under Construction,10,Distracted Driving
22-04-2009,Night,Texas,Clear,Rough,4,Poor Visibility
14-04-2009,Morning,Washington,Foggy,Fine,1,Mechanical Failure
28-12-2008,Morning,New Jersey,Clear,Under Construction,10,Driver Fatigue
09-05-2007,Morning,Florida,Foggy,Rough,3,Drunk Driving
06-01-2007,Night,West Virginia,Foggy,Fine,1,Poor Visibility
02-12-2008,Morning,Texas,Clear,Fine,7,Poor Visibility
24-07-2001,Morning,Indiana,Foggy,Fine,0,Poor Visibility
01-10-2011,Afternoon,Nevada,Clear,Rough,2,Distracted Driving
21-10-2017,Morning,Pennsylvania,Clear,Rough,5,Road Conditions
03-02-2009,Morning,Ohio,Clear,Fine,4,Weather Conditions
16-02-2015,Night,New Jersey,Rainy,Rough,8,Driver Fatigue
17-03-2012,Evening,Wisconsin,Clear,Fine,2,Weather Conditions
26-09-2006,Night,Arizona,Rainy,Under Construction,3,Weather Conditions
28-06-2012,Afternoon,Pennsylvania,Foggy,Fine,9,Distracted Driving
13-03-2012,Night,Alaska,Clear,Fine,1,Road Conditions
23-06-2020,Night,South Carolina,Rainy,Rough,8,Reckless Driving
16-12-2013,Morning,Alaska,Clear,Fine,7,Distracted Driving
26-04-2001,Evening,Vermont,Foggy,Fine,0,Poor Visibility
05-12-2022,Afternoon,Ohio,Foggy,Fine,6,Weather Conditions
25-01-2009,Afternoon,South Carolina,Clear,Fine,9,Poor Visibility
16-03-2015,Morning,Iowa,Clear,Under Construction,2,Road Conditions
22-04-2023,Afternoon,New York,Rainy,Fine,2,Driver Fatigue
13-12-2023,Night,Louisiana,Rainy,Fine,3,Poor Visibility
16-12-2005,Night,Florida,Rainy,Under Construction,2,Driver Fatigue
21-04-2009,Evening,Florida,Foggy,Fine,3,Reckless Driving
25-05-2010,Night,Iowa,Clear,Rough,0,Speeding
09-05-2005,Night,Ohio,Rainy,Fine,0,Driver Fatigue
26-08-2017,Morning,California,Rainy,Fine,3,Weather Conditions
17-11-2002,Evening,Florida,Clear,Rough,2,Driver Fatigue
24-03-2014,Afternoon,New York,Rainy,Rough,9,Mechanical Failure
28-04-2009,Evening,Vermont,Clear,Fine,2,Reckless Driving
12-12-2016,Night,Wisconsin,Clear,Under Construction,2,Speeding
16-04-2012,Night,Florida,Foggy,Rough,6,Weather Conditions
28-11-2007,Afternoon,Virginia,Rainy,Under Construction,1,Road Conditions
28-05-2007,Morning,Minnesota,Rainy,Fine,10,Road Conditions
28-07-2002,Morning,Louisiana,Rainy,Fine,10,Driver Fatigue
01-08-2013,Night,West Virginia,Rainy,Rough,5,Road Conditions
07-02-2023,Morning,South Carolina,Rainy,Under Construction,2,Driver Fatigue
19-02-2005,Afternoon,Florida,Clear,Fine,3,Reckless Driving
31-10-2000,Night,Minnesota,Clear,Fine,4,Distracted Driving
09-06-2011,Afternoon,Indiana,Rainy,Fine,10,Mechanical Failure
20-09-2013,Night,New Mexico,Rainy,Rough,4,Distracted Driving
10-06-2011,Afternoon,Washington,Clear,Fine,10,Reckless Driving
24-08-2013,Afternoon,Wisconsin,Foggy,Fine,1,Poor Visibility
25-10-2010,Night,Michigan,Rainy,Rough,4,Weather Conditions
13-10-2001,Night,Texas,Clear,Fine,2,Road Conditions
21-02-2000,Afternoon,Georgia,Rainy,Fine,8,Reckless Driving
02-08-2004,Afternoon,Michigan,Rainy,Rough,2,Reckless Driving
20-11-2004,Night,Michigan,Rainy,Fine,3,Weather Conditions
30-04-2012,Morning,New York,Clear,Under Construction,2,Road Conditions
30-12-2016,Morning,Vermont,Foggy,Fine,4,Mechanical Failure
13-08-2017,Morning,West Virginia,Clear,Fine,7,Road Conditions
08-10-2017,Afternoon,Nevada,Foggy,Under Construction,8,Mechanical Failure
26-01-2015,Morning,Indiana,Clear,Fine,8,Road Conditions
10-02-2017,Night,Wyoming,Foggy,Fine,9,Road Conditions
16-11-2003,Night,Wisconsin,Clear,Fine,10,Road Conditions
14-07-2020,Night,Wisconsin,Rainy,Rough,6,Drunk Driving
05-12-2011,Night,Ohio,Rainy,Fine,3,Poor Visibility
20-04-2022,Afternoon,Louisiana,Rainy,Under Construction,6,Road Conditions
15-02-2013,Evening,Colorado,Clear,Fine,10,Drunk Driving
30-01-2017,Morning,New York,Clear,Fine,9,Mechanical Failure
11-08-2009,Evening,Colorado,Clear,Fine,5,Mechanical Failure
06-04-2013,Morning,Louisiana,Foggy,Under Construction,7,Reckless Driving
03-11-2004,Morning,New Mexico,Clear,Under Construction,4,Reckless Driving
09-09-2006,Evening,Virginia,Foggy,Rough,2,Speeding
04-01-2009,Afternoon,New Mexico,Clear,Rough,10,Weather Conditions
12-07-2008,Night,West Virginia,Foggy,Under Construction,10,Road Conditions
16-04-2019,Morning,Colorado,Rainy,Fine,8,Drunk Driving
27-02-2002,Morning,West Virginia,Rainy,Under Construction,3,Road Conditions
10-01-2018,Night,Colorado,Clear,Fine,10,Road Conditions
26-06-2005,Night,Arizona,Foggy,Under Construction,2,Driver Fatigue
31-05-2005,Night,Iowa,Rainy,Fine,6,Distracted Driving
30-09-2009,Afternoon,Ohio,Rainy,Rough,8,Reckless Driving
09-08-2008,Morning,Wyoming,Clear,Under Construction,3,Speeding
12-06-2001,Night,Louisiana,Foggy,Under Construction,9,Speeding
02-10-2007,Night,Wyoming,Rainy,Under Construction,1,Reckless Driving
18-12-2012,Night,Indiana,Rainy,Rough,0,Reckless Driving
03-06-2003,Evening,Ohio,Foggy,Under Construction,5,Mechanical Failure
03-04-2009,Afternoon,Louisiana,Foggy,Rough,0,Weather Conditions
04-06-2009,Night,Wisconsin,Foggy,Fine,1,Poor Visibility
05-05-2016,Evening,Wyoming,Clear,Rough,4,Weather Conditions
25-10-2009,Morning,South Carolina,Rainy,Fine,4,Road Conditions
25-12-2012,Afternoon,New Jersey,Clear,Under Construction,8,Drunk Driving
28-06-2015,Night,Indiana,Foggy,Rough,0,Road Conditions
27-04-2008,Afternoon,Pennsylvania,Clear,Fine,10,Road Conditions
23-02-2010,Afternoon,New York,Clear,Rough,10,Poor Visibility
12-11-2012,Night,Georgia,Foggy,Fine,1,Speeding
15-09-2009,Night,Illinois,Foggy,Fine,4,Drunk Driving
24-03-2000,Morning,Pennsylvania,Foggy,Fine,5,Drunk Driving
05-12-2019,Night,Alaska,Clear,Rough,2,Drunk Driving
28-10-2017,Night,Washington,Clear,Under Construction,1,Speeding
27-12-2002,Afternoon,Nevada,Foggy,Fine,3,Weather Conditions
13-12-2008,Night,Michigan,Rainy,Under Construction,2,Drunk Driving
02-07-2022,Evening,South Carolina,Clear,Rough,8,Distracted Driving
10-02-2008,Evening,Pennsylvania,Clear,Rough,8,Weather Conditions
19-05-2016,Afternoon,Washington,Foggy,Rough,0,Reckless Driving
24-03-2007,Afternoon,Wyoming,Rainy,Fine,3,Weather Conditions
15-02-2022,Evening,Colorado,Rainy,Fine,5,Driver Fatigue
05-01-2014,Afternoon,New Mexico,Clear,Fine,6,Distracted Driving
25-04-2009,Night,Alaska,Clear,Rough,10,Reckless Driving
04-08-2000,Morning,North Carolina,Clear,Rough,0,Poor Visibility
31-05-2017,Morning,Pennsylvania,Rainy,Fine,8,Driver Fatigue
20-02-2021,Morning,Colorado,Rainy,Under Construction,7,Reckless Driving
06-04-2012,Night,Indiana,Foggy,Fine,4,Weather Conditions
30-07-2011,Afternoon,Georgia,Clear,Under Construction,4,Distracted Driving
22-03-2015,Night,Ohio,Foggy,Under Construction,6,Drunk Driving
05-05-2014,Night,Arizona,Rainy,Rough,9,Mechanical Failure
05-12-2016,Afternoon,Nevada,Clear,Rough,10,Reckless Driving
29-03-2002,Night,Michigan,Rainy,Rough,6,Mechanical Failure
25-06-2003,Night,California,Foggy,Rough,8,Speeding
01-01-2008,Afternoon,Vermont,Foggy,Under Construction,6,Reckless Driving
01-11-2007,Night,Minnesota,Rainy,Under Construction,2,Speeding
27-01-2010,Evening,Wisconsin,Foggy,Fine,8,Speeding
10-06-2000,Night,North Carolina,Rainy,Fine,7,Weather Conditions
17-01-2022,Morning,Nevada,Rainy,Under Construction,1,Distracted Driving
24-08-2005,Afternoon,North Carolina,Clear,Under Construction,4,Distracted Driving
26-01-2007,Night,Michigan,Clear,Fine,7,Weather Conditions
06-03-2003,Night,Montana,Foggy,Under Construction,4,Driver Fatigue
03-05-2014,Afternoon,Arizona,Clear,Under Construction,8,Weather Conditions
21-08-2005,Afternoon,North Carolina,Clear,Fine,7,Distracted Driving
13-12-2007,Evening,New Jersey,Clear,Fine,9,Reckless Driving
13-10-2007,Night,Nevada,Rainy,Fine,0,Mechanical Failure
29-07-2000,Evening,Washington,Foggy,Under Construction,1,Driver Fatigue
10-06-2022,Morning,Wisconsin,Rainy,Under Construction,9,Driver Fatigue
19-03-2010,Night,New Jersey,Rainy,Rough,5,Mechanical Failure
04-07-2001,Morning,Alaska,Foggy,Under Construction,1,Driver Fatigue
05-03-2001,Night,Washington,Rainy,Fine,4,Distracted Driving
22-08-2003,Night,California,Rainy,Fine,1,Speeding
26-11-2017,Night,Montana,Foggy,Rough,9,Road Conditions
02-01-2009,Evening,Colorado,Rainy,Fine,8,Distracted Driving
15-10-2018,Morning,Virginia,Rainy,Rough,3,Driver Fatigue
11-10-2014,Afternoon,South Carolina,Foggy,Rough,3,Weather Conditions
24-03-2000,Afternoon,New Jersey,Foggy,Rough,0,Mechanical Failure
20-09-2009,Night,New Jersey,Clear,Rough,4,Driver Fatigue
22-09-2020,Afternoon,Illinois,Rainy,Rough,2,Drunk Driving
08-10-2011,Night,Ohio,Rainy,Under Construction,8,Reckless Driving
10-06-2013,Morning,Pennsylvania,Clear,Under Construction,1,Poor Visibility
03-01-2007,Afternoon,California,Foggy,Fine,8,Weather Conditions
17-07-2008,Afternoon,Indiana,Clear,Fine,8,Reckless Driving
17-02-2014,Night,Louisiana,Clear,Fine,9,Drunk Driving
18-11-2020,Evening,California,Foggy,Under Construction,3,Poor Visibility
30-01-2011,Morning,Washington,Clear,Fine,7,Distracted Driving
13-06-2005,Morning,Florida,Clear,Rough,0,Speeding
